round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,0,0,0,0.0,2025-08-19T21:22:23.992836
2,1,1,0.09131431579589844,1.0,2025-08-19T21:22:33.224568
3,3,3,0.18986066182454428,1.0,2025-08-19T21:22:48.900278
4,9,9,0.12956725226508248,1.0,2025-08-19T21:23:04.656689
5,14,14,0.09945460728236608,1.0,2025-08-19T21:23:14.213440
6,21,21,0.09084883190336682,1.0,2025-08-19T21:23:32.057334
7,27,27,0.0838968488905165,1.0,2025-08-19T21:23:46.636824
8,31,31,0.07993944229618197,1.0,2025-08-19T21:24:01.857275
9,34,34,0.08083091062657972,1.0,2025-08-19T21:24:11.626023
10,35,35,0.08153915405273438,1.0,2025-08-19T21:24:19.479860
