round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,AsyncFL,707706,707706.0,707706,1.413016139470345,1.0,0.8,2025-08-19T21:22:23.992473
2,AsyncFL,2829246,707311.5,3536952,0.3534510608126688,1.0,0.8,2025-08-19T21:22:33.223945
3,AsyncFL,5660114,707514.25,9197066,0.17667488676023133,1.0,0.8,2025-08-19T21:22:48.898052
4,AsyncFL,7071466,707146.6,16268532,0.1414133929230516,1.0,0.8,2025-08-19T21:23:04.654455
5,AsyncFL,10612026,707468.4,26880558,0.09423271296169082,1.0,0.8,2025-08-19T21:23:14.212481
6,AsyncFL,10598584,706572.2666666667,37479142,0.09435222667480864,1.0,0.8,2025-08-19T21:23:32.054720
7,AsyncFL,7067120,706712.0,44546262,0.14150035658089857,1.0,0.8,2025-08-19T21:23:46.635509
8,AsyncFL,7066826,706682.6,51613088,0.1415062433969649,1.0,0.8,2025-08-19T21:24:01.856254
9,AsyncFL,3534798,706959.6,55147886,0.2829015972058375,1.0,0.8,2025-08-19T21:24:11.624855
10,AsyncFL,3533034,706606.8,58680920,0.28304284646001143,1.0,0.8,2025-08-19T21:24:19.478926
