round,loss,num_clients,total_examples,timestamp
1,4.650495872497559,1,1600,2025-08-19T21:22:23.992876
2,3.703397421836853,4,6400,2025-08-19T21:22:33.224705
3,3.330713604092598,8,12800,2025-08-19T21:22:48.900722
4,3.181520489692688,10,16000,2025-08-19T21:23:04.657001
5,3.126013669437832,15,14400,2025-08-19T21:23:14.213569
6,3.046560380458832,15,14400,2025-08-19T21:23:32.057689
7,2.995672754764557,10,16000,2025-08-19T21:23:46.636983
8,2.8569652805328367,10,16000,2025-08-19T21:24:01.857442
9,2.756910863876343,5,8000,2025-08-19T21:24:11.626326
10,2.6125848407745362,5,8000,2025-08-19T21:24:19.480083
