round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,745887f9afc5475abe6d5c74054a6dcc,2025-08-19T21:35:57.472269
2,3,5,0.6,"745887f9afc5475abe6d5c74054a6dcc,ca2d6675eaa74bb59b61ef2dfeb0f80f,1538b6db51944451b29255160385c317",2025-08-19T21:36:05.222603
3,7,10,0.7,"360d11073ff549258f4478a32bb29d40,ca2d6675eaa74bb59b61ef2dfeb0f80f,20f836835cdc4ae1a92008408685e0f8,27580301454d45c492e16922b03468f0,a79de7465e6e4a63800ac8dcaea34c7f,745887f9afc5475abe6d5c74054a6dcc,1538b6db51944451b29255160385c317",2025-08-19T21:36:18.418237
4,10,10,1.0,"20f836835cdc4ae1a92008408685e0f8,144d9c6c8ec142018e87277d10123e93,b4521001d4534bcf8eb04167c47985ee,812a4cedfd724d7db7b980fac18fbfa8,a79de7465e6e4a63800ac8dcaea34c7f,745887f9afc5475abe6d5c74054a6dcc,1a14eec33f534e3e9f62eddf0491b5f6,ca2d6675eaa74bb59b61ef2dfeb0f80f,03ab3d473fec49659594349746cc7f0e,1538b6db51944451b29255160385c317",2025-08-19T21:36:35.364776
5,15,15,1.0,"d29247504f57409d9ef92b3508c79426,ca2d6675eaa74bb59b61ef2dfeb0f80f,360d11073ff549258f4478a32bb29d40,03ab3d473fec49659594349746cc7f0e,1538b6db51944451b29255160385c317,1a14eec33f534e3e9f62eddf0491b5f6,a1365161e5fb4400834854019e5b0324,812a4cedfd724d7db7b980fac18fbfa8,27580301454d45c492e16922b03468f0,20f836835cdc4ae1a92008408685e0f8,144d9c6c8ec142018e87277d10123e93,4ba80ba545fd4a339ee0983fb11ebda1,745887f9afc5475abe6d5c74054a6dcc,b4521001d4534bcf8eb04167c47985ee,a79de7465e6e4a63800ac8dcaea34c7f",2025-08-19T21:36:48.502341
6,15,15,1.0,"b4521001d4534bcf8eb04167c47985ee,1a14eec33f534e3e9f62eddf0491b5f6,144d9c6c8ec142018e87277d10123e93,03ab3d473fec49659594349746cc7f0e,20f836835cdc4ae1a92008408685e0f8,27580301454d45c492e16922b03468f0,d29247504f57409d9ef92b3508c79426,745887f9afc5475abe6d5c74054a6dcc,360d11073ff549258f4478a32bb29d40,1538b6db51944451b29255160385c317,4ba80ba545fd4a339ee0983fb11ebda1,a1365161e5fb4400834854019e5b0324,a79de7465e6e4a63800ac8dcaea34c7f,812a4cedfd724d7db7b980fac18fbfa8,ca2d6675eaa74bb59b61ef2dfeb0f80f",2025-08-19T21:37:02.207212
7,10,10,1.0,"812a4cedfd724d7db7b980fac18fbfa8,144d9c6c8ec142018e87277d10123e93,d29247504f57409d9ef92b3508c79426,03ab3d473fec49659594349746cc7f0e,1a14eec33f534e3e9f62eddf0491b5f6,20f836835cdc4ae1a92008408685e0f8,a79de7465e6e4a63800ac8dcaea34c7f,360d11073ff549258f4478a32bb29d40,4ba80ba545fd4a339ee0983fb11ebda1,a1365161e5fb4400834854019e5b0324",2025-08-19T21:37:16.868288
8,10,10,1.0,"4ba80ba545fd4a339ee0983fb11ebda1,b4521001d4534bcf8eb04167c47985ee,745887f9afc5475abe6d5c74054a6dcc,ca2d6675eaa74bb59b61ef2dfeb0f80f,27580301454d45c492e16922b03468f0,03ab3d473fec49659594349746cc7f0e,20f836835cdc4ae1a92008408685e0f8,812a4cedfd724d7db7b980fac18fbfa8,360d11073ff549258f4478a32bb29d40,a79de7465e6e4a63800ac8dcaea34c7f",2025-08-19T21:37:29.402551
9,5,5,1.0,"4ba80ba545fd4a339ee0983fb11ebda1,360d11073ff549258f4478a32bb29d40,745887f9afc5475abe6d5c74054a6dcc,a1365161e5fb4400834854019e5b0324,d29247504f57409d9ef92b3508c79426",2025-08-19T21:37:37.091714
10,5,5,1.0,"4ba80ba545fd4a339ee0983fb11ebda1,27580301454d45c492e16922b03468f0,a79de7465e6e4a63800ac8dcaea34c7f,03ab3d473fec49659594349746cc7f0e,812a4cedfd724d7db7b980fac18fbfa8",2025-08-19T21:37:44.068428
