round,algorithm,class,tp,fp,fn,tn,timestamp
1,AsyncFL,Normal,43,174,266,1017,2025-08-19T21:35:58.074409
1,AsyncFL,DDoS,36,122,278,1064,2025-08-19T21:35:58.074409
1,AsyncFL,DoS,112,458,180,750,2025-08-19T21:35:58.074409
1,AsyncFL,Reconnaissance,19,78,279,1124,2025-08-19T21:35:58.074409
1,AsyncFL,Theft,77,381,210,832,2025-08-19T21:35:58.074409
2,AsyncFL,Normal,97,378,414,1611,2025-08-19T21:36:06.044524
2,AsyncFL,DDoS,128,473,371,1528,2025-08-19T21:36:06.044524
2,AsyncFL,DoS,126,471,371,1532,2025-08-19T21:36:06.044524
2,AsyncFL,Reconnaissance,63,275,438,1724,2025-08-19T21:36:06.044524
2,AsyncFL,Theft,95,394,397,1614,2025-08-19T21:36:06.044524
3,AsyncFL,Normal,204,732,849,3215,2025-08-19T21:36:20.019634
3,AsyncFL,DDoS,266,1029,701,3004,2025-08-19T21:36:20.019634
3,AsyncFL,DoS,224,971,729,3076,2025-08-19T21:36:20.019634
3,AsyncFL,Reconnaissance,161,625,853,3361,2025-08-19T21:36:20.019634
3,AsyncFL,Theft,161,627,852,3360,2025-08-19T21:36:20.019634
4,AsyncFL,Normal,203,804,819,3174,2025-08-19T21:36:36.761835
4,AsyncFL,DDoS,268,1145,698,2889,2025-08-19T21:36:36.761835
4,AsyncFL,DoS,201,838,782,3179,2025-08-19T21:36:36.761835
4,AsyncFL,Reconnaissance,164,674,844,3318,2025-08-19T21:36:36.761835
4,AsyncFL,Theft,139,564,882,3415,2025-08-19T21:36:36.761835
5,AsyncFL,Normal,317,1195,1236,4752,2025-08-19T21:36:50.632106
5,AsyncFL,DDoS,427,1777,1007,4289,2025-08-19T21:36:50.632106
5,AsyncFL,DoS,270,1155,1203,4872,2025-08-19T21:36:50.632106
5,AsyncFL,Reconnaissance,268,1054,1241,4937,2025-08-19T21:36:50.632106
5,AsyncFL,Theft,223,814,1308,5155,2025-08-19T21:36:50.632106
6,AsyncFL,Normal,316,1190,1237,4757,2025-08-19T21:37:04.425600
6,AsyncFL,DDoS,456,1871,978,4195,2025-08-19T21:37:04.425600
6,AsyncFL,DoS,257,1067,1216,4960,2025-08-19T21:37:04.425600
6,AsyncFL,Reconnaissance,274,1081,1235,4910,2025-08-19T21:37:04.425600
6,AsyncFL,Theft,212,776,1319,5193,2025-08-19T21:37:04.425600
7,AsyncFL,Normal,191,790,834,3185,2025-08-19T21:37:18.145742
7,AsyncFL,DDoS,294,1278,671,2757,2025-08-19T21:37:18.145742
7,AsyncFL,DoS,162,660,837,3341,2025-08-19T21:37:18.145742
7,AsyncFL,Reconnaissance,198,795,783,3224,2025-08-19T21:37:18.145742
7,AsyncFL,Theft,138,494,892,3476,2025-08-19T21:37:18.145742
8,AsyncFL,Normal,214,793,828,3165,2025-08-19T21:37:30.653084
8,AsyncFL,DDoS,330,1283,618,2769,2025-08-19T21:37:30.653084
8,AsyncFL,DoS,155,645,829,3371,2025-08-19T21:37:30.653084
8,AsyncFL,Reconnaissance,192,760,811,3237,2025-08-19T21:37:30.653084
8,AsyncFL,Theft,147,481,876,3496,2025-08-19T21:37:30.653084
9,AsyncFL,Normal,88,338,395,1679,2025-08-19T21:37:37.824975
9,AsyncFL,DDoS,155,681,322,1342,2025-08-19T21:37:37.824975
9,AsyncFL,DoS,73,358,432,1637,2025-08-19T21:37:37.824975
9,AsyncFL,Reconnaissance,116,430,389,1565,2025-08-19T21:37:37.824975
9,AsyncFL,Theft,56,205,474,1765,2025-08-19T21:37:37.824975
10,AsyncFL,Normal,110,382,427,1581,2025-08-19T21:37:44.706242
10,AsyncFL,DDoS,152,594,322,1432,2025-08-19T21:37:44.706242
10,AsyncFL,DoS,70,322,412,1696,2025-08-19T21:37:44.706242
10,AsyncFL,Reconnaissance,108,451,389,1552,2025-08-19T21:37:44.706242
10,AsyncFL,Theft,59,252,451,1738,2025-08-19T21:37:44.706242
