round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,AsyncFL,4.637718653678894,0.0,0.0,1.0,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:35:57.474041
2,AsyncFL,3.7560681454340616,0.881650508244832,0.23472697355520053,0.8372916963421787,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:36:05.227198
3,AsyncFL,3.4040970945358278,0.3519710508982339,0.10339630190431674,0.7878831699043892,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:36:18.425081
4,AsyncFL,3.257518689393997,0.14657840514183063,0.044996949862196774,0.7767743641382522,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:36:35.376669
5,AsyncFL,3.205818206999037,0.05170048239496028,0.016127078660320246,0.7814184088047539,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:36:48.520302
6,AsyncFL,3.112400517728594,0.09341768927044303,0.03001467476255869,0.7851882107415694,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:37:02.221315
7,AsyncFL,3.0508548867702485,0.06154563095834531,0.020173241023436504,0.9483546815214496,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:37:16.880660
8,AsyncFL,2.9383713693618776,0.11248351740837093,0.03828090573615915,0.9780785650925207,0.0,3,Staleness-adjusted: 1.000000,2025-08-19T21:37:29.416443
9,AsyncFL,2.862576865673065,0.07579450368881258,0.026477718239713136,0.9810148833211333,0.0,1,Staleness-adjusted: 1.000000,2025-08-19T21:37:37.098368
10,AsyncFL,2.6806033487319945,0.18197351694107056,0.06788528300061607,0.9711000854671824,0.0,2,Staleness-adjusted: 1.000000,2025-08-19T21:37:44.076374
