round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,1,1,0.06985664367675781,1.0,2025-08-19T21:35:57.473893
2,3,2,0.08690357208251953,0.6666666666666666,2025-08-19T21:36:05.226923
3,6,5,0.06041526794433594,0.8333333333333334,2025-08-19T21:36:18.424929
4,12,11,0.09235468777743253,0.9166666666666666,2025-08-19T21:36:35.376216
5,17,16,0.08693337440490723,0.9411764705882353,2025-08-19T21:36:48.519973
6,25,24,0.07477402687072754,0.96,2025-08-19T21:37:02.221140
7,28,27,0.07588775069625289,0.9642857142857143,2025-08-19T21:37:16.880320
8,33,32,0.08032470941543579,0.9696969696969697,2025-08-19T21:37:29.416152
9,36,35,0.08029937744140625,0.9722222222222222,2025-08-19T21:37:37.098143
10,39,38,0.08093055925871197,0.9743589743589743,2025-08-19T21:37:44.076070
