round,bytes_transmitted,communication_time,num_clients,timestamp
1,710188,3.5687477588653564,1,2025-08-19T21:52:48.609044
2,2841014,8.465036153793335,4,2025-08-19T21:52:57.628724
3,4968676,14.696863412857056,7,2025-08-19T21:53:13.323283
4,7103638,12.283248901367188,10,2025-08-19T21:53:26.823677
5,10653162,12.135838508605957,15,2025-08-19T21:53:40.101458
6,10661362,10.108858108520508,15,2025-08-19T21:53:51.946504
7,7098882,12.834936141967773,10,2025-08-19T21:54:06.579000
8,7103918,12.4091215133667,10,2025-08-19T21:54:20.131795
9,3549288,6.277791738510132,5,2025-08-19T21:54:26.234212
10,3548658,6.206187009811401,5,2025-08-19T21:54:33.042146
