round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.07373534888029099,0.22,3,0.14597351305107387,2025-08-19T21:52:49.162159
2,0.06516942828893661,0.19866666666666666,5,0.17724610182634168,2025-08-19T21:52:58.624957
3,0.06220268234610558,0.2048888888888889,10,0.16001992972959395,2025-08-19T21:53:14.537956
4,0.060757198929786684,0.204,10,0.1801605201244087,2025-08-19T21:53:27.963711
5,0.060824492822090785,0.20133333333333334,15,0.17824462551853149,2025-08-19T21:53:41.835326
6,0.06046653315424919,0.2028148148148148,15,0.1784140068567743,2025-08-19T21:53:53.741618
7,0.05967554673552513,0.20355555555555555,10,0.1959235941063833,2025-08-19T21:54:07.720340
8,0.0593931894749403,0.1968888888888889,10,0.216066598562279,2025-08-19T21:54:19.954910
9,0.059347353130579,0.19866666666666666,5,0.15561932222072494,2025-08-19T21:54:26.833335
10,0.057620222121477126,0.19511111111111112,5,0.25195822647160254,2025-08-19T21:54:33.628112
