round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedAvg,704794,704794.0,704794,1.418854303526988,1.0,1.0,2025-08-19T21:15:47.816854
2,FedAvg,2819698,704924.5,3524492,0.3546479091023223,1.0,1.0,2025-08-19T21:15:57.967438
3,FedAvg,5641916,705239.5,9166408,0.1772447516056602,1.0,1.0,2025-08-19T21:16:16.851218
4,FedAvg,7054604,705460.4,16221012,0.14175140092909538,1.0,1.0,2025-08-19T21:16:31.725208
5,FedAvg,10584220,705614.6666666666,26805232,0.09448027346370351,1.0,1.0,2025-08-19T21:16:47.842747
6,FedAvg,10585980,705732.0,37391212,0.09446456539687398,1.0,1.0,2025-08-19T21:17:01.439072
7,FedAvg,7054338,705433.8,44445550,0.1417567459909066,1.0,1.0,2025-08-19T21:17:17.316003
8,FedAvg,7055906,705590.6,51501456,0.14172524407212908,1.0,1.0,2025-08-19T21:17:30.587912
9,FedAvg,3524486,704897.2,55025942,0.2837293154235823,1.0,1.0,2025-08-19T21:17:38.952088
10,FedAvg,3526782,705356.4,58552724,0.28354460241659396,1.0,1.0,2025-08-19T21:17:46.465267
