round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,0,0,0,0.0,2025-08-19T21:15:47.817104
2,1,1,0.11539459228515625,1.0,2025-08-19T21:15:57.968273
3,5,5,0.11396408081054688,1.0,2025-08-19T21:16:16.852677
4,8,8,0.11685490608215332,1.0,2025-08-19T21:16:31.728171
5,14,14,0.0970533915928432,1.0,2025-08-19T21:16:47.844262
6,26,26,0.07655987372765174,1.0,2025-08-19T21:17:01.440854
7,29,29,0.07619528934873385,1.0,2025-08-19T21:17:17.317125
8,32,32,0.07494539022445679,1.0,2025-08-19T21:17:30.588844
9,34,34,0.07843270021326403,1.0,2025-08-19T21:17:38.953284
10,37,37,0.07706075101285367,1.0,2025-08-19T21:17:46.466404
