round,algorithm,loss_value,loss_improvement,convergence_rate,stability_metric,fedprox_convergence_bound,async_staleness_factor,theoretical_convergence,timestamp
1,FedAvg,4.488837132453918,0.0,0.0,1.0,0.0,0.0,N/A,2025-08-19T21:29:49.686515
2,FedAvg,3.705736945470174,0.7831001869837442,0.21132104045890027,0.8670684555370022,0.0,0.0,N/A,2025-08-19T21:29:55.439904
3,FedAvg,3.4012261370250156,0.30451080844515843,0.0895297155135671,0.8265320146991432,0.0,0.0,N/A,2025-08-19T21:30:11.574327
4,FedAvg,3.2686633949279784,0.13256274209703722,0.040555641887976696,0.8168975031386496,0.0,0.0,N/A,2025-08-19T21:30:25.419046
5,FedAvg,3.1788472856415644,0.08981610928641404,0.028254301391608713,0.8159933140862692,0.0,0.0,N/A,2025-08-19T21:30:38.939800
6,FedAvg,3.1260823074976605,0.05276497814390391,0.0168789471785024,0.8194962943422363,0.0,0.0,N/A,2025-08-19T21:30:52.287619
7,FedAvg,3.056713015317917,0.06936929217974352,0.022694080809064338,0.9555191164688976,0.0,0.0,N/A,2025-08-19T21:31:05.688457
8,FedAvg,2.9756485438346862,0.0810644714832307,0.027242623007743983,0.9810676715868177,0.0,0.0,N/A,2025-08-19T21:31:23.013099
9,FedAvg,2.7965755505561827,0.17907299327850357,0.06403295388994212,0.9774774682552501,0.0,0.0,N/A,2025-08-19T21:31:32.648532
10,FedAvg,2.686406331062317,0.11016921949386571,0.041009886784438974,0.9699271932131345,0.0,0.0,N/A,2025-08-19T21:31:39.628070
