round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.0653094897667567,0.19266666666666668,3,0.2242020144701376,2025-08-19T21:29:50.222100
2,0.06084428802132606,0.192,5,0.22381965887554425,2025-08-19T21:29:56.378436
3,0.059261133149266246,0.2044,10,0.22010401440196278,2025-08-19T21:30:12.983188
4,0.05817060843110085,0.201,10,0.21368511278865776,2025-08-19T21:30:26.657346
5,0.0577603317797184,0.196,15,0.2042645563156554,2025-08-19T21:30:40.907036
6,0.05754106640815735,0.19626666666666667,15,0.20419399676965244,2025-08-19T21:30:53.009029
7,0.05696149654686451,0.1992,10,0.1821513795067502,2025-08-19T21:31:07.074353
8,0.0565329160541296,0.1906,10,0.19628050234037206,2025-08-19T21:31:25.374504
9,0.05541626438498497,0.1964,5,0.2113280106641385,2025-08-19T21:31:33.306924
10,0.05487915426492691,0.1984,5,0.20604862843341165,2025-08-19T21:31:40.278391
