round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,8c1e50c472124d39bcae08aee39c8105,2025-08-19T21:46:46.049211
2,3,5,0.6,"8c1e50c472124d39bcae08aee39c8105,e87b91a79854491dae8416760bfdc170,925b166186114fd7b9e9388e5ad80866",2025-08-19T21:46:53.306802
3,7,10,0.7,"e87b91a79854491dae8416760bfdc170,1ca27a5e49a14bc7847d191296313dc5,28e197e77d5e47618cba03923d82170a,1f83cedf09374855999beebe96fb386b,ed78417af7334ad5a92c08694a1bf987,8c1e50c472124d39bcae08aee39c8105,925b166186114fd7b9e9388e5ad80866",2025-08-19T21:47:07.784877
4,10,10,1.0,"ed78417af7334ad5a92c08694a1bf987,e87b91a79854491dae8416760bfdc170,1f83cedf09374855999beebe96fb386b,188d75f69a0247afa9d0867d25f090f3,dd10cfdb374e4e0f87f4991fcb1c4984,5b78cf6a0a69489494b7b82a36c33e6a,7ad9b16b585040c5a073b41ca6d1d099,28e197e77d5e47618cba03923d82170a,1ccb638d88bb47f3a3a55dc0346d62e6,8c1e50c472124d39bcae08aee39c8105",2025-08-19T21:47:22.910853
5,15,15,1.0,"575686a10e8e4187befa644a4d4eb89e,8c1e50c472124d39bcae08aee39c8105,1f83cedf09374855999beebe96fb386b,1ccb638d88bb47f3a3a55dc0346d62e6,e87b91a79854491dae8416760bfdc170,dd10cfdb374e4e0f87f4991fcb1c4984,77a8fe4ba1bc47cfb4c292c6bfefda15,1ca27a5e49a14bc7847d191296313dc5,925b166186114fd7b9e9388e5ad80866,28e197e77d5e47618cba03923d82170a,7ad9b16b585040c5a073b41ca6d1d099,5b78cf6a0a69489494b7b82a36c33e6a,ed78417af7334ad5a92c08694a1bf987,8ec3523fe4774b7d8c24e80e6d2c11c1,188d75f69a0247afa9d0867d25f090f3",2025-08-19T21:47:36.142639
6,15,15,1.0,"925b166186114fd7b9e9388e5ad80866,7ad9b16b585040c5a073b41ca6d1d099,28e197e77d5e47618cba03923d82170a,188d75f69a0247afa9d0867d25f090f3,8c1e50c472124d39bcae08aee39c8105,8ec3523fe4774b7d8c24e80e6d2c11c1,1ccb638d88bb47f3a3a55dc0346d62e6,77a8fe4ba1bc47cfb4c292c6bfefda15,1ca27a5e49a14bc7847d191296313dc5,dd10cfdb374e4e0f87f4991fcb1c4984,575686a10e8e4187befa644a4d4eb89e,5b78cf6a0a69489494b7b82a36c33e6a,1f83cedf09374855999beebe96fb386b,e87b91a79854491dae8416760bfdc170,ed78417af7334ad5a92c08694a1bf987",2025-08-19T21:47:47.689386
7,10,10,1.0,"1f83cedf09374855999beebe96fb386b,575686a10e8e4187befa644a4d4eb89e,925b166186114fd7b9e9388e5ad80866,dd10cfdb374e4e0f87f4991fcb1c4984,188d75f69a0247afa9d0867d25f090f3,28e197e77d5e47618cba03923d82170a,5b78cf6a0a69489494b7b82a36c33e6a,8c1e50c472124d39bcae08aee39c8105,1ca27a5e49a14bc7847d191296313dc5,77a8fe4ba1bc47cfb4c292c6bfefda15",2025-08-19T21:48:02.123040
8,10,10,1.0,"188d75f69a0247afa9d0867d25f090f3,5b78cf6a0a69489494b7b82a36c33e6a,28e197e77d5e47618cba03923d82170a,1ca27a5e49a14bc7847d191296313dc5,8c1e50c472124d39bcae08aee39c8105,1ccb638d88bb47f3a3a55dc0346d62e6,575686a10e8e4187befa644a4d4eb89e,e87b91a79854491dae8416760bfdc170,8ec3523fe4774b7d8c24e80e6d2c11c1,dd10cfdb374e4e0f87f4991fcb1c4984",2025-08-19T21:48:14.740999
9,5,5,1.0,"28e197e77d5e47618cba03923d82170a,575686a10e8e4187befa644a4d4eb89e,1f83cedf09374855999beebe96fb386b,dd10cfdb374e4e0f87f4991fcb1c4984,925b166186114fd7b9e9388e5ad80866",2025-08-19T21:48:22.462411
10,5,5,1.0,"188d75f69a0247afa9d0867d25f090f3,5b78cf6a0a69489494b7b82a36c33e6a,77a8fe4ba1bc47cfb4c292c6bfefda15,28e197e77d5e47618cba03923d82170a,dd10cfdb374e4e0f87f4991fcb1c4984",2025-08-19T21:48:32.272343
