round,bytes_transmitted,communication_time,num_clients,timestamp
1,711620,5.0276079177856445,1,2025-08-19T21:46:46.050301
2,2128770,6.717183828353882,3,2025-08-19T21:46:53.309719
3,4968368,13.621426582336426,7,2025-08-19T21:47:07.792531
4,7100172,13.843816995620728,10,2025-08-19T21:47:22.921502
5,10645700,12.098502397537231,15,2025-08-19T21:47:36.158526
6,10643624,9.82535696029663,15,2025-08-19T21:47:47.705289
7,7094302,12.684761762619019,10,2025-08-19T21:48:02.131106
8,7087976,11.307622909545898,10,2025-08-19T21:48:14.751955
9,3547006,6.571866273880005,5,2025-08-19T21:48:22.467123
10,3550022,8.916411876678467,5,2025-08-19T21:48:32.277687
