round,algorithm,class_name,precision,recall,f1_score,support,improvement_from_prev,timestamp
1,FedAvg,Normal,0.19635627530364372,0.3356401384083045,0.24776500638569604,289,0.24776500638569604,2025-08-19T21:46:46.591721
1,FedAvg,DDoS,0.16666666666666666,0.02681992337164751,0.0462046204620462,261,0.0462046204620462,2025-08-19T21:46:46.591721
1,FedAvg,DoS,0.212707182320442,0.29277566539923955,0.2464,263,0.2464,2025-08-19T21:46:46.591721
1,FedAvg,Reconnaissance,0.05263157894736842,0.008403361344537815,0.014492753623188406,238,0.014492753623188406,2025-08-19T21:46:46.591721
1,FedAvg,Theft,0.2608695652173913,0.3612040133779264,0.302945301542777,299,0.302945301542777,2025-08-19T21:46:46.591721
2,FedAvg,Normal,0.19327731092436976,0.2929936305732484,0.23291139240506328,471,-0.014853613980632757,2025-08-19T21:46:54.169966
2,FedAvg,DDoS,0.18110236220472442,0.05203619909502263,0.08084358523725835,442,0.034638964775212146,2025-08-19T21:46:54.169966
2,FedAvg,DoS,0.1991869918699187,0.22897196261682243,0.21304347826086956,428,-0.03335652173913045,2025-08-19T21:46:54.169966
2,FedAvg,Reconnaissance,0.2012987012987013,0.14187643020594964,0.16644295302013423,437,0.15195019939694582,2025-08-19T21:46:54.169966
2,FedAvg,Theft,0.21018062397372742,0.2711864406779661,0.2368177613320999,472,-0.0661275402106771,2025-08-19T21:46:54.169966
3,FedAvg,Normal,0.21529324424647364,0.3165938864628821,0.25629695095006627,916,0.023385558545002988,2025-08-19T21:47:09.076353
3,FedAvg,DDoS,0.19375,0.06820682068206821,0.10089503661513426,909,0.02005145137787591,2025-08-19T21:47:09.076353
3,FedAvg,DoS,0.20979765708200213,0.22462941847206386,0.21696035242290745,877,0.003916874162037898,2025-08-19T21:47:09.076353
3,FedAvg,Reconnaissance,0.20932878270762229,0.2081447963800905,0.20873511060692002,884,0.042292157586785784,2025-08-19T21:47:09.076353
3,FedAvg,Theft,0.19408866995073892,0.21553610503282275,0.20425090720580616,914,-0.03256685412629373,2025-08-19T21:47:09.076353
4,FedAvg,Normal,0.21265822784810126,0.27876106194690264,0.24126376256582094,904,-0.015033188384245333,2025-08-19T21:47:24.058387
4,FedAvg,DDoS,0.21301775147928995,0.07920792079207921,0.11547714514835605,909,0.014582108533221796,2025-08-19T21:47:24.058387
4,FedAvg,DoS,0.21320973348783315,0.2062780269058296,0.2096866096866097,892,-0.007273742736297745,2025-08-19T21:47:24.058387
4,FedAvg,Reconnaissance,0.21022727272727273,0.24503311258278146,0.22629969418960244,906,0.017564583582682425,2025-08-19T21:47:24.058387
4,FedAvg,Theft,0.19848771266540643,0.23622047244094488,0.21571648690292755,889,0.011465579697121392,2025-08-19T21:47:24.058387
5,FedAvg,Normal,0.21266968325791855,0.27647058823529413,0.2404092071611253,1360,-0.000854555404695645,2025-08-19T21:47:37.878543
5,FedAvg,DDoS,0.20326678765880218,0.08145454545454546,0.11630321910695744,1375,0.0008260739586013893,2025-08-19T21:47:37.878543
5,FedAvg,DoS,0.21040372670807453,0.20330082520630158,0.20679130103014118,1333,-0.0028953086564685315,2025-08-19T21:47:37.878543
5,FedAvg,Reconnaissance,0.20219244823386115,0.25113464447806355,0.22402159244264508,1322,-0.0022781017469573617,2025-08-19T21:47:37.878543
5,FedAvg,Theft,0.20519653564290474,0.22647058823529412,0.21530933240125832,1360,-0.00040715450166922684,2025-08-19T21:47:37.878543
6,FedAvg,Normal,0.2099644128113879,0.26029411764705884,0.2324359816152331,1360,-0.007973225545892193,2025-08-19T21:47:49.445169
6,FedAvg,DDoS,0.20036764705882354,0.07927272727272727,0.11360083376758728,1375,-0.0027023853393701586,2025-08-19T21:47:49.445169
6,FedAvg,DoS,0.21291866028708134,0.2003000750187547,0.20641669887901043,1333,-0.00037460215113074846,2025-08-19T21:47:49.445169
6,FedAvg,Reconnaissance,0.20125786163522014,0.26626323751891073,0.22924128948225334,1322,0.0052196970396082565,2025-08-19T21:47:49.445169
6,FedAvg,Theft,0.2069874752801582,0.23088235294117648,0.21828293361140078,1360,0.0029736012101424514,2025-08-19T21:47:49.445169
7,FedAvg,Normal,0.21369102682701202,0.25163398692810457,0.23111555777888945,918,-0.0013204238363436482,2025-08-19T21:48:03.442663
7,FedAvg,DDoS,0.17936117936117937,0.08093126385809313,0.1115355233002292,902,-0.0020653104673580835,2025-08-19T21:48:03.442663
7,FedAvg,DoS,0.20220588235294118,0.18878718535469108,0.19526627218934914,874,-0.011150426689661291,2025-08-19T21:48:03.442663
7,FedAvg,Reconnaissance,0.2057877813504823,0.2909090909090909,0.24105461393596986,880,0.011813324453716523,2025-08-19T21:48:03.442663
7,FedAvg,Theft,0.1953781512605042,0.20086393088552915,0.19808306709265175,926,-0.020199866518749027,2025-08-19T21:48:03.442663
8,FedAvg,Normal,0.2063645130183221,0.24126268320180383,0.22245322245322244,887,-0.008662335325667014,2025-08-19T21:48:15.893846
8,FedAvg,DDoS,0.17289719626168223,0.08008658008658008,0.10946745562130178,924,-0.002068067678927421,2025-08-19T21:48:15.893846
8,FedAvg,DoS,0.22427440633245382,0.18888888888888888,0.20506634499396864,900,0.009800072804619503,2025-08-19T21:48:15.893846
8,FedAvg,Reconnaissance,0.20015822784810128,0.2908045977011494,0.2371134020618557,870,-0.00394121187411417,2025-08-19T21:48:15.893846
8,FedAvg,Theft,0.20434353405725567,0.2252448313384113,0.21428571428571427,919,0.016202647193062525,2025-08-19T21:48:15.893846
9,FedAvg,Normal,0.23651452282157676,0.2336065573770492,0.23505154639175257,488,0.012598323938530137,2025-08-19T21:48:23.359616
9,FedAvg,DDoS,0.19583333333333333,0.10398230088495575,0.13583815028901736,452,0.026370694667715577,2025-08-19T21:48:23.359616
9,FedAvg,DoS,0.1958041958041958,0.1917808219178082,0.19377162629757785,438,-0.011294718696390788,2025-08-19T21:48:23.359616
9,FedAvg,Reconnaissance,0.22660818713450293,0.34140969162995594,0.27240773286467485,454,0.03529433080281916,2025-08-19T21:48:23.359616
9,FedAvg,Theft,0.18072289156626506,0.17942583732057416,0.18007202881152462,418,-0.03421368547418965,2025-08-19T21:48:23.359616
