round,loss,num_clients,total_examples,timestamp
1,4.567897496223449,1,1600,2025-08-19T21:46:46.050686
2,3.91797251701355,3,4800,2025-08-19T21:46:53.310909
3,3.5183158254623415,7,11200,2025-08-19T21:47:07.794367
4,3.373644504070282,10,16000,2025-08-19T21:47:22.923178
5,3.296384677357144,15,14400,2025-08-19T21:47:36.162631
6,3.2170157522625393,15,14400,2025-08-19T21:47:47.708108
7,3.151835433959961,10,16000,2025-08-19T21:48:02.132845
8,3.0633294215202334,10,16000,2025-08-19T21:48:14.753779
9,2.9399392557144166,5,8000,2025-08-19T21:48:22.468672
10,2.7917830286026,5,8000,2025-08-19T21:48:32.279121
