round,threats_detected,rules_deployed,avg_response_time,mitigation_effectiveness,timestamp
1,1,1,0.2257823944091797,1.0,2025-08-19T21:19:03.912186
2,3,3,0.14630953470865884,1.0,2025-08-19T21:19:15.860293
3,8,8,0.0794529914855957,1.0,2025-08-19T21:19:31.293658
4,15,14,0.07227488926478795,0.9333333333333333,2025-08-19T21:19:46.424987
5,20,19,0.07147538034539473,0.95,2025-08-19T21:19:59.523199
6,29,28,0.06863049098423549,0.9655172413793104,2025-08-19T21:20:15.973563
7,33,31,0.07691690998692667,0.9393939393939394,2025-08-19T21:20:30.530804
8,38,35,0.07794925144740512,0.9210526315789473,2025-08-19T21:20:44.911328
9,40,37,0.0775118131895323,0.925,2025-08-19T21:20:53.568146
10,42,39,0.07609831981169872,0.9285714285714286,2025-08-19T21:21:00.874581
