round,loss,num_clients,total_examples,timestamp
1,4.758948311805725,1,1600,2025-08-19T21:19:03.912367
2,3.9949743378162386,4,6400,2025-08-19T21:19:15.860635
3,3.6290057945251464,9,14400,2025-08-19T21:19:31.293800
4,3.4365392642021177,10,16000,2025-08-19T21:19:46.425178
5,3.297938885953691,15,14400,2025-08-19T21:19:59.523364
6,3.337636569076114,15,14400,2025-08-19T21:20:15.973867
7,3.244707846403122,10,16000,2025-08-19T21:20:30.531242
8,3.1080749168395996,10,16000,2025-08-19T21:20:44.911722
9,2.9914208259582518,5,8000,2025-08-19T21:20:53.568297
10,2.7855565729141234,5,8000,2025-08-19T21:21:00.874736
