round,num_clients,target_clients,participation_rate,client_ids,timestamp
1,1,5,0.2,6d893e63ba3646199abea54e9cd1321a,2025-08-19T21:32:56.012880
2,3,5,0.6,"257039681cd84920860410e390219cc5,49d5aa60417a40d79ac717faad27ba9b,6d893e63ba3646199abea54e9cd1321a",2025-08-19T21:33:03.943796
3,7,10,0.7,"49d5aa60417a40d79ac717faad27ba9b,3a967f0dfa894a1dba50685c8de6be27,10bbe72358b74c9bbfe17ed1cf7edad7,e2c4f103c8e44b12a678849eacc445f2,6d893e63ba3646199abea54e9cd1321a,871860e696af4c1b99c0cc05d9ef2490,257039681cd84920860410e390219cc5",2025-08-19T21:33:20.133777
4,10,10,1.0,"3e656c22be1b4ea7a6be8f58c9ed2c12,49d5aa60417a40d79ac717faad27ba9b,1d5539350a0749ff886b6ca7cee55a05,3a967f0dfa894a1dba50685c8de6be27,417bd7bb204a43c8a3306e3acdda6886,b7c69b0bbeb4410fa707bc3ca621ea67,871860e696af4c1b99c0cc05d9ef2490,f8822c3fa9c34cafa75126819d8c647a,6d893e63ba3646199abea54e9cd1321a,082effb1432047948f68941e65a18e90",2025-08-19T21:33:34.699839
5,15,15,1.0,"871860e696af4c1b99c0cc05d9ef2490,082effb1432047948f68941e65a18e90,1d5539350a0749ff886b6ca7cee55a05,257039681cd84920860410e390219cc5,b7c69b0bbeb4410fa707bc3ca621ea67,7c98057383b447fbbf19c3f90dcc83c5,3a967f0dfa894a1dba50685c8de6be27,f8822c3fa9c34cafa75126819d8c647a,8e3a5f419bc2417aa6beec4c992f481d,49d5aa60417a40d79ac717faad27ba9b,10bbe72358b74c9bbfe17ed1cf7edad7,417bd7bb204a43c8a3306e3acdda6886,3e656c22be1b4ea7a6be8f58c9ed2c12,e2c4f103c8e44b12a678849eacc445f2,6d893e63ba3646199abea54e9cd1321a",2025-08-19T21:33:47.646032
6,15,15,1.0,"e2c4f103c8e44b12a678849eacc445f2,6d893e63ba3646199abea54e9cd1321a,f8822c3fa9c34cafa75126819d8c647a,082effb1432047948f68941e65a18e90,3e656c22be1b4ea7a6be8f58c9ed2c12,3a967f0dfa894a1dba50685c8de6be27,49d5aa60417a40d79ac717faad27ba9b,7c98057383b447fbbf19c3f90dcc83c5,871860e696af4c1b99c0cc05d9ef2490,8e3a5f419bc2417aa6beec4c992f481d,1d5539350a0749ff886b6ca7cee55a05,10bbe72358b74c9bbfe17ed1cf7edad7,b7c69b0bbeb4410fa707bc3ca621ea67,257039681cd84920860410e390219cc5,417bd7bb204a43c8a3306e3acdda6886",2025-08-19T21:33:59.530732
7,10,10,1.0,"257039681cd84920860410e390219cc5,f8822c3fa9c34cafa75126819d8c647a,082effb1432047948f68941e65a18e90,417bd7bb204a43c8a3306e3acdda6886,10bbe72358b74c9bbfe17ed1cf7edad7,e2c4f103c8e44b12a678849eacc445f2,49d5aa60417a40d79ac717faad27ba9b,3e656c22be1b4ea7a6be8f58c9ed2c12,8e3a5f419bc2417aa6beec4c992f481d,7c98057383b447fbbf19c3f90dcc83c5",2025-08-19T21:34:14.170041
8,10,10,1.0,"871860e696af4c1b99c0cc05d9ef2490,8e3a5f419bc2417aa6beec4c992f481d,3a967f0dfa894a1dba50685c8de6be27,6d893e63ba3646199abea54e9cd1321a,3e656c22be1b4ea7a6be8f58c9ed2c12,417bd7bb204a43c8a3306e3acdda6886,1d5539350a0749ff886b6ca7cee55a05,7c98057383b447fbbf19c3f90dcc83c5,257039681cd84920860410e390219cc5,082effb1432047948f68941e65a18e90",2025-08-19T21:34:29.380160
9,5,5,1.0,"f8822c3fa9c34cafa75126819d8c647a,6d893e63ba3646199abea54e9cd1321a,871860e696af4c1b99c0cc05d9ef2490,3a967f0dfa894a1dba50685c8de6be27,e2c4f103c8e44b12a678849eacc445f2",2025-08-19T21:34:35.896864
10,5,5,1.0,"871860e696af4c1b99c0cc05d9ef2490,1d5539350a0749ff886b6ca7cee55a05,417bd7bb204a43c8a3306e3acdda6886,7c98057383b447fbbf19c3f90dcc83c5,3e656c22be1b4ea7a6be8f58c9ed2c12",2025-08-19T21:34:43.037193
