round,algorithm,total_bytes,bytes_per_client,cumulative_bytes,bandwidth_efficiency,compression_ratio,communication_overhead,timestamp
1,FedProx,708406,708406.0,708406,1.4116198902889021,1.0,1.1,2025-08-19T21:32:56.014797
2,FedProx,2119184,706394.6666666666,2827590,0.47187974239141106,1.0,1.1,2025-08-19T21:33:03.947594
3,FedProx,4944326,706332.2857142857,7771916,0.2022520359701201,1.0,1.1,2025-08-19T21:33:20.142183
4,FedProx,7064430,706443.0,14836346,0.14155423721375965,1.0,1.1,2025-08-19T21:33:34.710577
5,FedProx,10599662,706644.1333333333,25436008,0.09434263092540121,1.0,1.1,2025-08-19T21:33:47.662021
6,FedProx,10599624,706641.6,36035632,0.09434296914683012,1.0,1.1,2025-08-19T21:33:59.547148
7,FedProx,7068148,706814.8,43103780,0.14147977659777355,1.0,1.1,2025-08-19T21:34:14.181095
8,FedProx,7060772,706077.2,50164552,0.14162757273567253,1.0,1.1,2025-08-19T21:34:29.390977
9,FedProx,3529422,705884.4,53693974,0.2833325116690495,1.0,1.1,2025-08-19T21:34:35.902518
10,FedProx,3529782,705956.4,57223756,0.28330361478414245,1.0,1.1,2025-08-19T21:34:43.042863
