round,loss,accuracy,num_clients,zero_day_detection,timestamp
1,0.0653094897667567,0.19266666666666668,3,0.2242020144701376,2025-08-19T21:32:56.601339
2,0.061405085027217865,0.1912,5,0.19389998463059047,2025-08-19T21:33:04.815859
3,0.05944795906543732,0.197,10,0.20600975228107354,2025-08-19T21:33:21.593454
4,0.05810141637921333,0.2026,10,0.2239076802897734,2025-08-19T21:33:36.028482
5,0.05782112057010333,0.19906666666666667,15,0.21369905004630588,2025-08-19T21:33:49.652029
6,0.05749520659446716,0.19866666666666666,15,0.21344688018411367,2025-08-19T21:34:01.943946
7,0.056760574132204054,0.198,10,0.2255241777762452,2025-08-19T21:34:15.420892
8,0.0561598639935255,0.1998,10,0.2075282128089928,2025-08-19T21:34:29.598781
9,0.05535698607563973,0.1968,5,0.2795805495090823,2025-08-19T21:34:36.533542
10,0.05471072569489479,0.2068,5,0.19790958142976772,2025-08-19T21:34:43.760195
