round,bytes_transmitted,communication_time,num_clients,timestamp
1,710188,5.391559839248657,1,2025-08-19T21:49:46.826347
2,2841016,7.848528623580933,4,2025-08-19T21:49:55.195829
3,4972696,14.944174766540527,7,2025-08-19T21:50:10.990241
4,7100870,12.073026180267334,10,2025-08-19T21:50:24.361332
5,10650702,12.073297023773193,15,2025-08-19T21:50:37.550183
6,10647620,10.61026382446289,15,2025-08-19T21:50:50.002989
7,7096664,12.690120935440063,10,2025-08-19T21:51:04.540260
8,7100348,11.054880857467651,10,2025-08-19T21:51:16.738586
9,3549400,6.352069854736328,5,2025-08-19T21:51:24.202117
10,3548748,6.35188889503479,5,2025-08-19T21:51:31.125518
