round,algorithm,class,tp,fp,fn,tn,timestamp
1,FedProx,Normal,102,381,187,680,2025-08-19T21:49:47.345714
1,FedProx,DDoS,11,31,250,1058,2025-08-19T21:49:47.345714
1,FedProx,DoS,64,249,199,838,2025-08-19T21:49:47.345714
1,FedProx,Reconnaissance,9,40,229,1072,2025-08-19T21:49:47.345714
1,FedProx,Theft,111,352,188,699,2025-08-19T21:49:47.345714
2,FedProx,Normal,118,517,325,1290,2025-08-19T21:49:56.044519
2,FedProx,DDoS,28,114,419,1689,2025-08-19T21:49:56.044519
2,FedProx,DoS,90,320,349,1491,2025-08-19T21:49:56.044519
2,FedProx,Reconnaissance,59,263,371,1557,2025-08-19T21:49:56.044519
2,FedProx,Theft,164,577,327,1182,2025-08-19T21:49:56.044519
3,FedProx,Normal,257,950,663,2630,2025-08-19T21:50:12.286713
3,FedProx,DDoS,70,257,843,3330,2025-08-19T21:50:12.286713
3,FedProx,DoS,174,704,697,2925,2025-08-19T21:50:12.286713
3,FedProx,Reconnaissance,174,709,696,2921,2025-08-19T21:50:12.286713
3,FedProx,Theft,247,958,679,2616,2025-08-19T21:50:12.286713
4,FedProx,Normal,205,889,677,2729,2025-08-19T21:50:25.474951
4,FedProx,DDoS,53,272,865,3310,2025-08-19T21:50:25.474951
4,FedProx,DoS,168,646,718,2968,2025-08-19T21:50:25.474951
4,FedProx,Reconnaissance,207,799,694,2800,2025-08-19T21:50:25.474951
4,FedProx,Theft,260,1001,653,2586,2025-08-19T21:50:25.474951
5,FedProx,Normal,343,1325,1017,4065,2025-08-19T21:50:39.391430
5,FedProx,DDoS,93,414,1282,4961,2025-08-19T21:50:39.391430
5,FedProx,DoS,242,921,1091,4496,2025-08-19T21:50:39.391430
5,FedProx,Reconnaissance,332,1330,990,4098,2025-08-19T21:50:39.391430
5,FedProx,Theft,366,1384,994,4006,2025-08-19T21:50:39.391430
6,FedProx,Normal,336,1336,1024,4054,2025-08-19T21:50:51.848774
6,FedProx,DDoS,107,454,1268,4921,2025-08-19T21:50:51.848774
6,FedProx,DoS,243,911,1090,4506,2025-08-19T21:50:51.848774
6,FedProx,Reconnaissance,341,1339,981,4089,2025-08-19T21:50:51.848774
6,FedProx,Theft,347,1336,1013,4054,2025-08-19T21:50:51.848774
7,FedProx,Normal,203,813,725,2759,2025-08-19T21:51:05.682260
7,FedProx,DDoS,72,306,832,3290,2025-08-19T21:51:05.682260
7,FedProx,DoS,150,595,732,3023,2025-08-19T21:51:05.682260
7,FedProx,Reconnaissance,257,1045,615,2583,2025-08-19T21:51:05.682260
7,FedProx,Theft,219,840,695,2746,2025-08-19T21:51:05.682260
8,FedProx,Normal,224,842,677,2757,2025-08-19T21:51:17.848270
8,FedProx,DDoS,80,353,838,3229,2025-08-19T21:51:17.848270
8,FedProx,DoS,139,540,757,3064,2025-08-19T21:51:17.848270
8,FedProx,Reconnaissance,279,1041,619,2561,2025-08-19T21:51:17.848270
8,FedProx,Theft,197,805,690,2808,2025-08-19T21:51:17.848270
9,FedProx,Normal,102,402,377,1369,2025-08-19T21:51:24.772101
9,FedProx,DDoS,38,190,418,1604,2025-08-19T21:51:24.772101
9,FedProx,DoS,63,281,379,1527,2025-08-19T21:51:24.772101
9,FedProx,Reconnaissance,119,556,298,1277,2025-08-19T21:51:24.772101
9,FedProx,Theft,100,399,356,1395,2025-08-19T21:51:24.772101
10,FedProx,Normal,68,314,394,1474,2025-08-19T21:51:31.733997
10,FedProx,DDoS,48,198,439,1565,2025-08-19T21:51:31.733997
10,FedProx,DoS,58,280,376,1536,2025-08-19T21:51:31.733997
10,FedProx,Reconnaissance,149,644,278,1179,2025-08-19T21:51:31.733997
10,FedProx,Theft,100,391,340,1419,2025-08-19T21:51:31.733997
